Subprefeitura,IDH_2010,IDH_Renda_2010,IDH_Longevidade_2010,IDH_Educacao_2010,IDH_2000,IDH_Renda_2000,IDH_Longevidade_2000,IDH_Educacao_2000
Aricanduva/Formosa/Carrao,0.786,0.734,0.825,0.81,0.837,0.807,0.914,0.789
Butanta,0.81,0.777,0.798,0.853,0.865,0.849,0.95,0.839
Capela do Socorro,0.742,0.675,0.818,0.743,0.768,0.731,0.861,0.63
Casa Verde/Cachoerinha,0.792,0.735,0.803,0.84,0.843,0.831,0.931,0.823
Cidade Ademar,0.763,0.7,0.824,0.794,0.809,0.783,0.903,0.718
Cidade Tiradentes,0.715,0.669,0.808,0.668,0.748,0.658,0.857,0.539
Ermelino Matarazzo,0.754,0.699,0.796,0.775,0.808,0.772,0.883,0.674
Freguesia/Brasilandia,0.743,0.672,0.819,0.735,0.763,0.721,0.86,0.622
Guaianazes,0.693,0.652,0.756,0.682,0.752,0.675,0.849,0.55
Ipiranga,0.81,0.77,0.815,0.873,0.868,0.865,0.949,0.839
Itaim Paulista,0.722,0.64,0.795,0.738,0.743,0.742,0.872,0.635
Itaquera,0.761,0.7,0.817,0.745,0.781,0.736,0.872,0.641
Jabaquara,0.772,0.726,0.817,0.826,0.844,0.803,0.921,0.764
Jacana/Tremembe,0.766,0.716,0.813,0.789,0.806,0.783,0.896,0.711
Lapa,0.825,0.788,0.835,0.88,0.879,0.878,0.954,0.851
M'Boi Mirim,0.744,0.672,0.827,0.739,0.764,0.724,0.861,0.632
Mooca,0.827,0.783,0.84,0.875,0.883,0.849,0.954,0.848
Parelheiros,0.719,0.663,0.781,0.774,0.757,0.772,0.889,0.685
Penha,0.769,0.708,0.822,0.796,0.802,0.81,0.899,0.708
Perus,0.747,0.698,0.789,0.767,0.794,0.758,0.888,0.695
Pinheiros,0.904,0.888,0.879,0.942,0.956,0.924,0.983,0.929
Pirituba/Jaraguaï¿½,0.771,0.716,0.824,0.778,0.793,0.773,0.891,0.671
Santana/Tucuruvi,0.815,0.776,0.835,0.843,0.855,0.841,0.935,0.826
Santo Amaro,0.811,0.772,0.837,0.846,0.856,0.84,0.935,0.828
Sao Mateus,0.758,0.703,0.818,0.748,0.776,0.746,0.868,0.636
Sao Miguel,0.716,0.644,0.785,0.7,0.733,0.704,0.858,0.594
Se,0.843,0.83,0.846,0.875,0.901,0.855,0.944,0.83
Vila Maria/Vila Guilherme,0.8,0.746,0.836,0.81,0.834,0.809,0.904,0.751
Vila Mariana,0.866,0.854,0.831,0.885,0.9,0.869,0.952,0.849
